"codigo_ies_padre","Nivel de Formación","year","graduados","tipo","Metodología","desercion"
"2704","Maestría","2018",120,"graduados",NA,NA
"2704","Maestría","2019",126,"graduados",NA,NA
"2704","Maestría","2020",130,"graduados",NA,NA
"2704","Maestría","2021",147,"graduados",NA,NA
"2704","Maestría","2022",203,"graduados",NA,NA
"2704","Maestría","2023",246,"graduados",NA,NA
"2704","Doctorado","2013",0,"graduados",NA,NA
"2704","Doctorado","2014",0,"graduados",NA,NA
"2704","Doctorado","2015",0,"graduados",NA,NA
"2704","Doctorado","2016",0,"graduados",NA,NA
"2704","Doctorado","2017",0,"graduados",NA,NA
"2704","Doctorado","2018",0,"graduados",NA,NA
"2704","Doctorado","2019",0,"graduados",NA,NA
"2704","Doctorado","2020",0,"graduados",NA,NA
"2704","Doctorado","2021",0,"graduados",NA,NA
"2704","Doctorado","2022",0,"graduados",NA,NA
"2704","Doctorado","2023",0,"graduados",NA,NA
"2704","Total General","2013",386,"graduados",NA,NA
"2704","Total General","2014",441,"graduados",NA,NA
"2704","Total General","2015",458,"graduados",NA,NA
"2704","Total General","2016",474,"graduados",NA,NA
"2704","Total General","2017",520,"graduados",NA,NA
"2704","Total General","2018",523,"graduados",NA,NA
"2704","Total General","2019",514,"graduados",NA,NA
"2704","Total General","2020",452,"graduados",NA,NA
"2704","Total General","2021",544,"graduados",NA,NA
"2704","Total General","2022",607,"graduados",NA,NA
"2704","Total General","2023",540,"graduados",NA,NA
"4112","Técnica Profesional","2013",105,"graduados",NA,NA
"4112","Técnica Profesional","2014",56,"graduados",NA,NA
"4112","Técnica Profesional","2015",53,"graduados",NA,NA
"4112","Técnica Profesional","2016",68,"graduados",NA,NA
"4112","Técnica Profesional","2017",61,"graduados",NA,NA
"4112","Técnica Profesional","2018",146,"graduados",NA,NA
"4112","Técnica Profesional","2019",111,"graduados",NA,NA
"4112","Técnica Profesional","2020",49,"graduados",NA,NA
"4112","Técnica Profesional","2021",107,"graduados",NA,NA
"4112","Técnica Profesional","2022",219,"graduados",NA,NA
"4112","Técnica Profesional","2023",217,"graduados",NA,NA
"4112","Tecnológica","2013",15,"graduados",NA,NA
"4112","Tecnológica","2014",28,"graduados",NA,NA
"4112","Tecnológica","2015",23,"graduados",NA,NA
"4112","Tecnológica","2016",18,"graduados",NA,NA
"4112","Tecnológica","2017",26,"graduados",NA,NA
"4112","Tecnológica","2018",59,"graduados",NA,NA
"4112","Tecnológica","2019",99,"graduados",NA,NA
"4112","Tecnológica","2020",1,"graduados",NA,NA
"4112","Tecnológica","2021",54,"graduados",NA,NA
"4112","Tecnológica","2022",50,"graduados",NA,NA
"4112","Tecnológica","2023",127,"graduados",NA,NA
"4112","Universitaria","2013",0,"graduados",NA,NA
"4112","Universitaria","2014",0,"graduados",NA,NA
"4112","Universitaria","2015",0,"graduados",NA,NA
"4112","Universitaria","2016",0,"graduados",NA,NA
"4112","Universitaria","2017",0,"graduados",NA,NA
"4112","Universitaria","2018",0,"graduados",NA,NA
"4112","Universitaria","2019",0,"graduados",NA,NA
"4112","Universitaria","2020",0,"graduados",NA,NA
"4112","Universitaria","2021",0,"graduados",NA,NA
"4112","Universitaria","2022",0,"graduados",NA,NA
"4112","Universitaria","2023",0,"graduados",NA,NA
"4112","Especialización","2013",0,"graduados",NA,NA
"4112","Especialización","2014",0,"graduados",NA,NA
"4112","Especialización","2015",0,"graduados",NA,NA
"4112","Especialización","2016",0,"graduados",NA,NA
"4112","Especialización","2017",0,"graduados",NA,NA
"4112","Especialización","2018",0,"graduados",NA,NA
"4112","Especialización","2019",0,"graduados",NA,NA
"4112","Especialización","2020",0,"graduados",NA,NA
"4112","Especialización","2021",0,"graduados",NA,NA
"4112","Especialización","2022",0,"graduados",NA,NA
"4112","Especialización","2023",0,"graduados",NA,NA
"4112","Maestría","2013",0,"graduados",NA,NA
"4112","Maestría","2014",0,"graduados",NA,NA
"4112","Maestría","2015",0,"graduados",NA,NA
"4112","Maestría","2016",0,"graduados",NA,NA
"4112","Maestría","2017",0,"graduados",NA,NA
"4112","Maestría","2018",0,"graduados",NA,NA
"4112","Maestría","2019",0,"graduados",NA,NA
"4112","Maestría","2020",0,"graduados",NA,NA
"4112","Maestría","2021",0,"graduados",NA,NA
"4112","Maestría","2022",0,"graduados",NA,NA
"4112","Maestría","2023",0,"graduados",NA,NA
"4112","Doctorado","2013",0,"graduados",NA,NA
"4112","Doctorado","2014",0,"graduados",NA,NA
"4112","Doctorado","2015",0,"graduados",NA,NA
"4112","Doctorado","2016",0,"graduados",NA,NA
"4112","Doctorado","2017",0,"graduados",NA,NA
"4112","Doctorado","2018",0,"graduados",NA,NA
"4112","Doctorado","2019",0,"graduados",NA,NA
"4112","Doctorado","2020",0,"graduados",NA,NA
"4112","Doctorado","2021",0,"graduados",NA,NA
"4112","Doctorado","2022",0,"graduados",NA,NA
"4112","Doctorado","2023",0,"graduados",NA,NA
"4112","Total General","2013",120,"graduados",NA,NA
"4112","Total General","2014",84,"graduados",NA,NA
"4112","Total General","2015",76,"graduados",NA,NA
"4112","Total General","2016",86,"graduados",NA,NA
"4112","Total General","2017",87,"graduados",NA,NA
"4112","Total General","2018",205,"graduados",NA,NA
"4112","Total General","2019",210,"graduados",NA,NA
"4112","Total General","2020",50,"graduados",NA,NA
"4112","Total General","2021",161,"graduados",NA,NA
"4112","Total General","2022",269,"graduados",NA,NA
"4112","Total General","2023",344,"graduados",NA,NA
"2110","Técnica Profesional","2013",0,"graduados",NA,NA
"2110","Técnica Profesional","2014",0,"graduados",NA,NA
"2110","Técnica Profesional","2015",0,"graduados",NA,NA
"2110","Técnica Profesional","2016",0,"graduados",NA,NA
"2110","Técnica Profesional","2017",0,"graduados",NA,NA
"2110","Técnica Profesional","2018",0,"graduados",NA,NA
"2110","Técnica Profesional","2019",0,"graduados",NA,NA
"2110","Técnica Profesional","2020",0,"graduados",NA,NA
"2110","Técnica Profesional","2021",0,"graduados",NA,NA
"2110","Técnica Profesional","2022",0,"graduados",NA,NA
"2110","Técnica Profesional","2023",0,"graduados",NA,NA
"2110","Tecnológica","2013",120,"graduados",NA,NA
"2110","Tecnológica","2014",97,"graduados",NA,NA
"2110","Tecnológica","2015",85,"graduados",NA,NA
"2110","Tecnológica","2016",144,"graduados",NA,NA
"2110","Tecnológica","2017",122,"graduados",NA,NA
"2110","Tecnológica","2018",228,"graduados",NA,NA
"2110","Tecnológica","2019",188,"graduados",NA,NA
"2110","Tecnológica","2020",176,"graduados",NA,NA
"2110","Tecnológica","2021",463,"graduados",NA,NA
"2110","Tecnológica","2022",531,"graduados",NA,NA
"2110","Tecnológica","2023",403,"graduados",NA,NA
"2110","Universitaria","2013",210,"graduados",NA,NA
"2110","Universitaria","2014",260,"graduados",NA,NA
"2110","Universitaria","2015",341,"graduados",NA,NA
"2110","Universitaria","2016",338,"graduados",NA,NA
"2110","Universitaria","2017",333,"graduados",NA,NA
"2110","Universitaria","2018",404,"graduados",NA,NA
"2110","Universitaria","2019",455,"graduados",NA,NA
"2110","Universitaria","2020",380,"graduados",NA,NA
"2110","Universitaria","2021",508,"graduados",NA,NA
"2110","Universitaria","2022",583,"graduados",NA,NA
"2110","Universitaria","2023",522,"graduados",NA,NA
"2110","Especialización","2013",20,"graduados",NA,NA
"2110","Especialización","2014",28,"graduados",NA,NA
"2110","Especialización","2015",13,"graduados",NA,NA
"2110","Especialización","2016",17,"graduados",NA,NA
"2110","Especialización","2017",35,"graduados",NA,NA
"2110","Especialización","2018",66,"graduados",NA,NA
"2110","Especialización","2019",48,"graduados",NA,NA
"2110","Especialización","2020",38,"graduados",NA,NA
"2110","Especialización","2021",51,"graduados",NA,NA
"2110","Especialización","2022",47,"graduados",NA,NA
"2110","Especialización","2023",54,"graduados",NA,NA
"2110","Maestría","2013",0,"graduados",NA,NA
"2110","Maestría","2014",0,"graduados",NA,NA
"2110","Maestría","2015",0,"graduados",NA,NA
"2110","Maestría","2016",0,"graduados",NA,NA
"2110","Maestría","2017",0,"graduados",NA,NA
"2110","Maestría","2018",0,"graduados",NA,NA
"2110","Maestría","2019",0,"graduados",NA,NA
"2110","Maestría","2020",0,"graduados",NA,NA
"2110","Maestría","2021",0,"graduados",NA,NA
"2110","Maestría","2022",0,"graduados",NA,NA
"2110","Maestría","2023",0,"graduados",NA,NA
"2110","Doctorado","2013",0,"graduados",NA,NA
"2110","Doctorado","2014",0,"graduados",NA,NA
"2110","Doctorado","2015",0,"graduados",NA,NA
"2110","Doctorado","2016",0,"graduados",NA,NA
"2110","Doctorado","2017",0,"graduados",NA,NA
"2110","Doctorado","2018",0,"graduados",NA,NA
"2110","Doctorado","2019",0,"graduados",NA,NA
"2110","Doctorado","2020",0,"graduados",NA,NA
"2110","Doctorado","2021",0,"graduados",NA,NA
"2110","Doctorado","2022",0,"graduados",NA,NA
"2110","Doctorado","2023",0,"graduados",NA,NA
"2110","Total General","2013",350,"graduados",NA,NA
"2110","Total General","2014",385,"graduados",NA,NA
"2110","Total General","2015",439,"graduados",NA,NA
"2110","Total General","2016",499,"graduados",NA,NA
"2110","Total General","2017",490,"graduados",NA,NA
"2110","Total General","2018",698,"graduados",NA,NA
"2110","Total General","2019",691,"graduados",NA,NA
"2110","Total General","2020",594,"graduados",NA,NA
"2110","Total General","2021",1022,"graduados",NA,NA
"2110","Total General","2022",1161,"graduados",NA,NA
"2110","Total General","2023",979,"graduados",NA,NA
"1714","Técnica Profesional","2013",0,"graduados",NA,NA
"1714","Técnica Profesional","2014",0,"graduados",NA,NA
"1714","Técnica Profesional","2015",0,"graduados",NA,NA
"1714","Técnica Profesional","2016",0,"graduados",NA,NA
"1714","Técnica Profesional","2017",0,"graduados",NA,NA
"1714","Técnica Profesional","2018",0,"graduados",NA,NA
"1714","Técnica Profesional","2019",0,"graduados",NA,NA
"1714","Técnica Profesional","2020",0,"graduados",NA,NA
"1714","Técnica Profesional","2021",0,"graduados",NA,NA
"1714","Técnica Profesional","2022",0,"graduados",NA,NA
"1714","Técnica Profesional","2023",0,"graduados",NA,NA
"1714","Tecnológica","2013",0,"graduados",NA,NA
"1714","Tecnológica","2014",0,"graduados",NA,NA
"1714","Tecnológica","2015",0,"graduados",NA,NA
"1714","Tecnológica","2016",0,"graduados",NA,NA
"1714","Tecnológica","2017",0,"graduados",NA,NA
"1714","Tecnológica","2018",0,"graduados",NA,NA
"1714","Tecnológica","2019",0,"graduados",NA,NA
"1714","Tecnológica","2020",0,"graduados",NA,NA
"1714","Tecnológica","2021",0,"graduados",NA,NA
"1714","Tecnológica","2022",0,"graduados",NA,NA
"1714","Tecnológica","2023",0,"graduados",NA,NA
"1714","Universitaria","2013",1567,"graduados",NA,NA
"1714","Universitaria","2014",1129,"graduados",NA,NA
"1714","Universitaria","2015",1218,"graduados",NA,NA
"1714","Universitaria","2016",1009,"graduados",NA,NA
"1714","Universitaria","2017",1160,"graduados",NA,NA
"1714","Universitaria","2018",1555,"graduados",NA,NA
"1714","Universitaria","2019",1787,"graduados",NA,NA
"1714","Universitaria","2020",1552,"graduados",NA,NA
"1714","Universitaria","2021",1757,"graduados",NA,NA
"1714","Universitaria","2022",2092,"graduados",NA,NA
"1714","Universitaria","2023",2008,"graduados",NA,NA
"1714","Especialización","2013",1835,"graduados",NA,NA
"1714","Especialización","2014",1708,"graduados",NA,NA
"1714","Especialización","2015",1994,"graduados",NA,NA
"1714","Especialización","2016",1947,"graduados",NA,NA
"1714","Especialización","2017",1117,"graduados",NA,NA
"1714","Especialización","2018",1403,"graduados",NA,NA
"1714","Especialización","2019",2185,"graduados",NA,NA
"1714","Especialización","2020",1801,"graduados",NA,NA
"1714","Especialización","2021",1588,"graduados",NA,NA
"1714","Especialización","2022",1963,"graduados",NA,NA
"1714","Especialización","2023",2039,"graduados",NA,NA
"1714","Maestría","2013",142,"graduados",NA,NA
"1714","Maestría","2014",118,"graduados",NA,NA
"1714","Maestría","2015",199,"graduados",NA,NA
"1714","Maestría","2016",241,"graduados",NA,NA
"1714","Maestría","2017",152,"graduados",NA,NA
"1714","Maestría","2018",204,"graduados",NA,NA
"1714","Maestría","2019",374,"graduados",NA,NA
"1714","Maestría","2020",342,"graduados",NA,NA
"1714","Maestría","2021",391,"graduados",NA,NA
"1714","Maestría","2022",509,"graduados",NA,NA
"1714","Maestría","2023",600,"graduados",NA,NA
"1714","Doctorado","2013",0,"graduados",NA,NA
"1714","Doctorado","2014",5,"graduados",NA,NA
"1714","Doctorado","2015",8,"graduados",NA,NA
"1714","Doctorado","2016",3,"graduados",NA,NA
"1714","Doctorado","2017",10,"graduados",NA,NA
"1714","Doctorado","2018",9,"graduados",NA,NA
"1714","Doctorado","2019",18,"graduados",NA,NA
"1714","Doctorado","2020",7,"graduados",NA,NA
"1714","Doctorado","2021",12,"graduados",NA,NA
"1714","Doctorado","2022",13,"graduados",NA,NA
"1714","Doctorado","2023",19,"graduados",NA,NA
"1714","Total General","2013",3544,"graduados",NA,NA
"1714","Total General","2014",2960,"graduados",NA,NA
