"codigo_ies_padre","Año","tipo_contrato","cantidad","tipo","Nivel de formacion","dedicacion_sexo"
"2208",2018,"Término Indefinido",NA,"tipo_contrato",NA,NA
"2208",2018,"Término fijo",18,"tipo_contrato",NA,NA
"2208",2018,"Horas",8,"tipo_contrato",NA,NA
"2208",2018,"Ocasional",0,"tipo_contrato",NA,NA
"2208",2018,"AD Honorem",NA,"tipo_contrato",NA,NA
"2208",2018,"Sin Información",NA,"tipo_contrato",NA,NA
"2208",2019,"Término Indefinido",NA,"tipo_contrato",NA,NA
"2208",2019,"Término fijo",0,"tipo_contrato",NA,NA
"2208",2019,"Horas",1,"tipo_contrato",NA,NA
"2208",2019,"Ocasional",25,"tipo_contrato",NA,NA
"2208",2019,"AD Honorem",NA,"tipo_contrato",NA,NA
"2208",2019,"Sin Información",NA,"tipo_contrato",NA,NA
"2208",2020,"Término Indefinido",NA,"tipo_contrato",NA,NA
"2208",2020,"Término fijo",0,"tipo_contrato",NA,NA
"2208",2020,"Horas",23,"tipo_contrato",NA,NA
"2208",2020,"Ocasional",21,"tipo_contrato",NA,NA
"2208",2020,"AD Honorem",NA,"tipo_contrato",NA,NA
"2208",2020,"Sin Información",NA,"tipo_contrato",NA,NA
"2208",2021,"Término Indefinido",NA,"tipo_contrato",NA,NA
"2208",2021,"Término fijo",0,"tipo_contrato",NA,NA
"2208",2021,"Horas",28,"tipo_contrato",NA,NA
"2208",2021,"Ocasional",25,"tipo_contrato",NA,NA
"2208",2021,"AD Honorem",NA,"tipo_contrato",NA,NA
"2208",2021,"Sin Información",NA,"tipo_contrato",NA,NA
"2208",2022,"Término Indefinido",NA,"tipo_contrato",NA,NA
"2208",2022,"Término fijo",0,"tipo_contrato",NA,NA
"2208",2022,"Horas",24,"tipo_contrato",NA,NA
"2208",2022,"Ocasional",29,"tipo_contrato",NA,NA
"2208",2022,"AD Honorem",NA,"tipo_contrato",NA,NA
"2208",2022,"Sin Información",NA,"tipo_contrato",NA,NA
"2208",2023,"Término Indefinido",NA,"tipo_contrato",NA,NA
"2208",2023,"Término fijo",0,"tipo_contrato",NA,NA
"2208",2023,"Horas",26,"tipo_contrato",NA,NA
"2208",2023,"Ocasional",36,"tipo_contrato",NA,NA
"2208",2023,"AD Honorem",NA,"tipo_contrato",NA,NA
"2208",2023,"Sin Información",NA,"tipo_contrato",NA,NA
"4801",2017,"Término Indefinido",NA,"tipo_contrato",NA,NA
"4801",2017,"Término fijo",30,"tipo_contrato",NA,NA
"4801",2017,"Horas",0,"tipo_contrato",NA,NA
"4801",2017,"Ocasional",NA,"tipo_contrato",NA,NA
"4801",2017,"AD Honorem",NA,"tipo_contrato",NA,NA
"4801",2017,"Sin Información",NA,"tipo_contrato",NA,NA
"4801",2018,"Término Indefinido",NA,"tipo_contrato",NA,NA
"4801",2018,"Término fijo",28,"tipo_contrato",NA,NA
"4801",2018,"Horas",0,"tipo_contrato",NA,NA
"4801",2018,"Ocasional",NA,"tipo_contrato",NA,NA
"4801",2018,"AD Honorem",NA,"tipo_contrato",NA,NA
"4801",2018,"Sin Información",NA,"tipo_contrato",NA,NA
"4801",2019,"Término Indefinido",NA,"tipo_contrato",NA,NA
"4801",2019,"Término fijo",34,"tipo_contrato",NA,NA
"4801",2019,"Horas",0,"tipo_contrato",NA,NA
"4801",2019,"Ocasional",NA,"tipo_contrato",NA,NA
"4801",2019,"AD Honorem",NA,"tipo_contrato",NA,NA
"4801",2019,"Sin Información",NA,"tipo_contrato",NA,NA
"4801",2020,"Término Indefinido",NA,"tipo_contrato",NA,NA
"4801",2020,"Término fijo",28,"tipo_contrato",NA,NA
"4801",2020,"Horas",0,"tipo_contrato",NA,NA
"4801",2020,"Ocasional",NA,"tipo_contrato",NA,NA
"4801",2020,"AD Honorem",NA,"tipo_contrato",NA,NA
"4801",2020,"Sin Información",NA,"tipo_contrato",NA,NA
"4801",2021,"Término Indefinido",NA,"tipo_contrato",NA,NA
"4801",2021,"Término fijo",19,"tipo_contrato",NA,NA
"4801",2021,"Horas",2,"tipo_contrato",NA,NA
"4801",2021,"Ocasional",NA,"tipo_contrato",NA,NA
"4801",2021,"AD Honorem",NA,"tipo_contrato",NA,NA
"4801",2021,"Sin Información",NA,"tipo_contrato",NA,NA
"4801",2022,"Término Indefinido",NA,"tipo_contrato",NA,NA
"4801",2022,"Término fijo",17,"tipo_contrato",NA,NA
"4801",2022,"Horas",4,"tipo_contrato",NA,NA
"4801",2022,"Ocasional",NA,"tipo_contrato",NA,NA
"4801",2022,"AD Honorem",NA,"tipo_contrato",NA,NA
"4801",2022,"Sin Información",NA,"tipo_contrato",NA,NA
"4801",2023,"Término Indefinido",NA,"tipo_contrato",NA,NA
"4801",2023,"Término fijo",18,"tipo_contrato",NA,NA
"4801",2023,"Horas",1,"tipo_contrato",NA,NA
"4801",2023,"Ocasional",NA,"tipo_contrato",NA,NA
"4801",2023,"AD Honorem",NA,"tipo_contrato",NA,NA
"4801",2023,"Sin Información",NA,"tipo_contrato",NA,NA
"3820",2017,"Término Indefinido",0,"tipo_contrato",NA,NA
"3820",2017,"Término fijo",0,"tipo_contrato",NA,NA
"3820",2017,"Horas",0,"tipo_contrato",NA,NA
"3820",2017,"Ocasional",0,"tipo_contrato",NA,NA
"3820",2017,"AD Honorem",0,"tipo_contrato",NA,NA
"3820",2017,"Sin Información",0,"tipo_contrato",NA,NA
"3820",2018,"Término Indefinido",0,"tipo_contrato",NA,NA
"3820",2018,"Término fijo",19,"tipo_contrato",NA,NA
"3820",2018,"Horas",0,"tipo_contrato",NA,NA
"3820",2018,"Ocasional",0,"tipo_contrato",NA,NA
"3820",2018,"AD Honorem",0,"tipo_contrato",NA,NA
"3820",2018,"Sin Información",0,"tipo_contrato",NA,NA
"3820",2019,"Término Indefinido",0,"tipo_contrato",NA,NA
"3820",2019,"Término fijo",18,"tipo_contrato",NA,NA
"3820",2019,"Horas",0,"tipo_contrato",NA,NA
"3820",2019,"Ocasional",0,"tipo_contrato",NA,NA
"3820",2019,"AD Honorem",0,"tipo_contrato",NA,NA
